Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Stemmeberettigede,GyldigeStemmer
630007,630007,57,7,2,739,596
630008,630008,57,7,2,1494,1139
630009,630009,57,7,2,10987,6390
630010,630010,57,7,2,916,737
630011,630011,57,7,2,3585,2758
630012,630012,57,7,2,2604,2047
630013,630013,57,7,2,2091,1409
630014,630014,57,7,2,2287,1564
630015,630015,57,7,2,3238,2042
630016,630016,56,7,2,1648,1323
630017,630017,56,7,2,4434,3103
630018,630018,56,7,2,1729,1310
630019,630019,56,7,2,954,716
630020,630020,56,7,2,874,656
630021,630021,56,7,2,797,569
630022,630022,56,7,2,371,302
630023,630023,56,7,2,1251,921
630024,630024,56,7,2,3089,2306
630025,630025,56,7,2,1290,981
630026,630026,56,7,2,1059,809
630027,630027,56,7,2,1629,1258
630028,630028,56,7,2,1220,921
630029,630029,56,7,2,1146,894
630030,630030,56,7,2,4468,2946
630031,630031,56,7,2,928,706
630032,630032,56,7,2,6311,4803
630033,630033,56,7,2,1777,1246
630034,630034,56,7,2,3052,2281
657001,657001,80,9,3,19428,12519
657002,657002,80,9,3,1027,716
657005,657005,80,9,3,2453,1792
657006,657006,80,9,3,731,548
657007,657007,80,9,3,4214,3206
657008,657008,80,9,3,1743,1227
657009,657009,80,9,3,724,523
657011,657011,80,9,3,586,460
657013,657013,81,9,3,3020,2200
657014,657014,81,9,3,584,386
657015,657015,81,9,3,1224,813
657016,657016,81,9,3,880,665
657017,657017,81,9,3,6044,4456
657018,657018,81,9,3,530,392
657019,657019,81,9,3,689,511
657020,657020,81,9,3,357,246
657021,657021,81,9,3,671,526
657022,657022,81,9,3,713,577
657023,657023,81,9,3,3482,2675
657024,657024,81,9,3,3411,2541
657025,657025,81,9,3,941,682
657026,657026,81,9,3,4133,3068
657027,657027,81,9,3,3190,2334
657028,657028,81,9,3,372,289
657029,657029,81,9,3,1214,939
657030,657030,81,9,3,857,617
661001,661001,82,9,3,13988,9950
661002,661002,82,9,3,3414,2745
661003,661003,82,9,3,1627,1179
661004,661004,82,9,3,2882,2286
661005,661005,82,9,3,9942,7051
661006,661006,82,9,3,4278,3108
661007,661007,82,9,3,1481,1121
661008,661008,82,9,3,2514,1939
